timestamp,event_type,joint_names,joint_positions,joint_velocities,joint_efforts
62.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0036031302747501215;-0.6681969784838957;1.0415329350049847;-0.38601567196508313,,
62.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0035079583735386777;-0.6782439109903828;1.0439017924758822;-0.37825366523231274,,
63.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0034716147828515176;-0.6853696791175876;1.045327209080697;-0.3724859132818992,,
63.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003484218917120252;-0.6904695858141343;1.0462342002022043;-0.3682418634891329,,
64.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003475044586682685;-0.6941410842227969;1.0468381832288527;-0.3651363565932151,,
64.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0034695608243211495;-0.6967942181044036;1.0472540049884946;-0.3628711276978063,,
65.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.002840951560829197;-0.6976879949235348;1.0478339245847428;-0.3624850664535275,,
65.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0029416639190440463;-0.6960263308191195;1.0465542779427706;-0.3628446182210814,,
66.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0031260259682914793;-0.6902508762279966;1.0424610869697792;-0.364477352627941,,
66.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0033923163531630607;-0.6786055596155762;1.034689471100532;-0.368269687692135,,
67.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003724914826063852;-0.6593959299147496;1.0224268260739757;-0.3751056960137893,,
67.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004119628635194772;-0.6314004201332946;1.0050669828626146;-0.38561329990485493,,
68.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004567490090932935;-0.5943010415676033;0.9823370032119003;-0.3998605659514576,,
68.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005055611654829484;-0.5489112939357446;0.9543385630602836;-0.4171633732660114,,
69.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00556793836389069;-0.4970388722127286;0.9214853303108752;-0.4361497380630004,,
69.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006083569621455176;-0.440998235814722;0.8843537312756178;-0.45508927344164807,,
70.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.006582709944856546;-0.3830119343421181;0.8435211764988422;-0.47232853609487346,,
70.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007042213965593014;-0.3248000855486586;0.7994780701232971;-0.48661970178708014,,
71.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0074440194709790575;-0.2674849851419223;0.7526414460323094;-0.49723780142772167,,
71.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007771918904450281;-0.2117182542162377;0.7034216476480504;-0.5039256434556476,,
72.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008013397467869332;-0.15786332453740037;0.6522768337018574;-0.5067674013425121,,
72.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008158831065005145;-0.10614370374680782;0.5997386939807621;-0.5060651435452046,,
73.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00820498029947725;-0.056731050122587945;0.5464101842922391;-0.5022473500213511,,
73.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008150646954462992;-0.009787119462125737;0.49294925967169956;-0.49580915448444696,,
74.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00799825350762351;0.03451530788399726;0.44005481988234774;-0.48727656575423595,,
74.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007757380519378465;0.07598903605728236;0.3884461788035276;-0.47718244020988543,,
75.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0074392969278589405;0.1144374549631122;0.3388410644704569;-0.4660488790539672,,
75.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0070594411105959765;0.14966541472664208;0.29192943250584147;-0.4543719921035638,,
76.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0066380195614828;0.18149821196865812;0.24833802521380388;-0.44260570614606554,,
76.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006197291036603936;0.20980548516107955;0.2085890587227821;-0.4311440967896454,,
77.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005763166200769554;0.234528114690586;0.1730563722292322;-0.4203047649503713,,
77.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0053606064540234755;0.2557025631246832;0.14192757944244416;-0.4103148598133046,,
78.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005013470350156091;0.2734731125889054;0.11518692333849057;-0.4013061214756073,,
78.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0047491168369129255;0.2880776441607926;0.09263639121788803;-0.3933214220751555,,
79.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004582631925505787;0.2997913273873838;0.07397696429291845;-0.38633833487333824,,
79.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0045252721787232275;0.30881569639527395;0.0589658853049313;-0.38031532954017067,,
80.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00538736772222137;0.3171893185672081;0.04264208241202194;-0.37239819891863046,,
80.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005638877052143165;0.3233728961758553;0.031071330626887494;-0.3669426471204451,,
81.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0056673120197681115;0.32783286554255753;0.022796452605272854;-0.36308009031385957,,
81.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005627837913188216;0.3310448307277536;0.01685223114687151;-0.36031431096207545,,
82.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005609242457675023;0.3333607597297119;0.012568786471873317;-0.3583228854054985,,
82.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0056155737139347295;0.3350334110142681;0.009475107716554909;-0.35688468070631085,,
83.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004446145981768623;0.3362390223183338;0.008410123409912096;-0.35698100330674887,,
83.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0048010039464934096;0.33508097530999414;0.009688909165047832;-0.35708723342805815,,
84.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005120827368081393;0.3307095884839413;0.014866958121600327;-0.35785221169303494,,
84.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005447138341045488;0.3220694191760849;0.02575255883329497;-0.36002850053035385,,
85.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005865737109165714;0.3080685836812531;0.044158742007732954;-0.36433905218545615,,
85.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.00633516026777059;0.2878699588101874;0.0715081540443343;-0.3713771233780454,,
86.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.006810989941508971;0.26114926205087485;0.1083948342960932;-0.3814270745027484,,
86.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0072632479714638265;0.2282203067141193;0.15431076588449066;-0.394313064215873,,
87.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.007669615373397498;0.18996129229833336;0.20770371286199207;-0.40937709763672725,,
87.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008009883202673151;0.14755724443128315;0.26638037949600246;-0.4256194412200651,,
88.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008269461473153328;0.10218098447043467;0.3280658267707173;-0.4419373892587748,,
88.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008438658212595485;0.054767684186343146;0.3908424207549661;-0.45734187580374464,,
89.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008509055957033773;0.005959505136209131;0.453309445652895;-0.47106611708364365,,
89.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008479738046712093;-0.043820167976804214;0.5145109992886807;-0.4825703650287858,,
90.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008350910821595114;-0.09425791158471597;0.5737817080971936;-0.49149756495392705,,
90.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008125582697167566;-0.1450598500234772;0.6306109147210766;-0.4976271757220383,,
91.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.007814051174938719;-0.19589922714967578;0.6845671333030365;-0.5008509781207637,,
91.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007426953718241869;-0.24639382502857288;0.7352701312777334;-0.5011673457526653,,
92.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00697848147417357;-0.2960947410215393;0.7823834140128225;-0.4986845049443245,,
92.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0064869691549782615;-0.34448983070085504;0.8256223868618742;-0.4936254012855459,,
93.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005969100770852442;-0.39101736778894924;0.8647652459260877;-0.4863253331416999,,
93.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0054443344644168334;-0.43509029691805523;0.8996635207887005;-0.47721873260413705,,
94.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004931408557916406;-0.47613483007153157;0.9302535426449596;-0.4668128611651712,,
94.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004446801791979205;-0.5136394421635693;0.9565651186365685;-0.455647904301701,,
95.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004007080634486293;-0.5472084717076324;0.9787267629399761;-0.4442490855455814,,
95.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003624804114791935;-0.5766106490044045;0.9969652049527635;-0.43307730013582457,,
96.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0033102525932475757;-0.6018060282139661;1.011594173746575;-0.4224904828700229,,
96.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003074201597429216;-0.622932293061984;1.022984372375178;-0.4127264258211678,,
97.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0029203880875980914;-0.6402301249136659;1.0315048689084243;-0.403916868534818,,
97.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0028514572304478847;-0.6538893805460617;1.0374267898833063;-0.39614415191560326,,
98.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003603130304288271;-0.6681969784263746;1.0415329348770905;-0.3860156718930403,,
98.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003507958385050358;-0.6782439109985798;1.0439017924441227;-0.3782536651906394,,
99.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0034716147649653806;-0.6853696791266799;1.0453272090662473;-0.3724859132579539,,
99.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003484218922536364;-0.6904695858257188;1.0462342001981897;-0.36824186347330023,,
